id,text
carta1n1,Castaño ayudó a Busa a vender versiones impresas del Index Thomisticus en Argentina.
carta1n2,Se refiere a que estén tipeadas en máquina de escribir.
carta1n3,"Se trata del Colegio Aloisianum de Gallarate, provincia de Varese."
carta1n4,Adjetivo superlativo de afecto. Se utiliza en las cartas como fórmula de despedida. También se emplea su abreviatura afmo o affmo. Aquí Busa lo usa an el inicio y cierre de varias cartas con una variante italianizada.
carta2n1,"El Thesaurus Linguae Graecae es hoy un recurso accesible online, aunque para ese entonces circulaba en una versión abreviada solo en papel o CD-Rom."
carta2n2,La lira fue la moneda de Italia desde su unificación hasta su fusión con el euro en 1999.
carta2n3,"Se trata de la Universidad de Irvine en California, institución que participó de la primera reunión del Thesaurus."
